# 开心输入法可接受读音与多音字表
# 来源：项目作者自维护。
# 格式：词语或单字<TAB>无声调拼音<TAB>独立权重<TAB>读音类别
# 读音类别：primary（主要）、alternate（其他规范读音）、colloquial（口语）、historical（旧读）。
# 同一个词语或单字可有多行；每行的拼音和权重独立进入运行时索引。
重	zhong	7000000	primary
重	chong	900000	alternate
长	chang	7000000	primary
长	zhang	6000000	alternate
行	xing	7000000	primary
行	hang	3000000	alternate
乐	le	7000000	primary
乐	yue	3000000	alternate
着	zhe	7000000	primary
着	zhuo	2000000	alternate
着	zhao	1500000	alternate
谁	shui	7000000	primary
谁	shei	6000000	colloquial
熟	shu	5000000	primary
熟	shou	4000000	colloquial
血	xue	5000000	primary
血	xie	3000000	colloquial
薄	bo	4000000	primary
薄	bao	2000000	alternate
薄	bu	500000	alternate
剥	bo	3000000	primary
剥	bao	1000000	alternate
给	gei	7000000	primary
给	ji	1000000	alternate
差	cha	5000000	primary
差	chai	2000000	alternate
差	ci	1000000	alternate

# 高频现代普通话单字异读；仅收录无声调拼写不同、可用于现代词语的读音。
的	di	3500000	alternate
地	de	3000000	alternate
得	dei	3000000	alternate
了	liao	3500000	alternate
和	huo	2500000	alternate
和	hu	800000	alternate
都	du	2500000	alternate
说	shui	1200000	alternate
会	kuai	1200000	alternate
还	huan	3500000	alternate
大	dai	1600000	alternate
没	mo	1200000	alternate
哪	nei	1800000	colloquial
哪	ne	900000	colloquial
奇	ji	1800000	alternate
便	pian	3000000	alternate
曾	zeng	2200000	alternate
朝	zhao	3000000	alternate
省	xing	2400000	alternate
觉	jiao	3500000	alternate
率	shuai	2800000	alternate
藏	zang	3000000	alternate
色	shai	1200000	colloquial
圈	juan	1600000	alternate
系	ji	2600000	alternate
转	zhuai	800000	alternate
单	shan	1800000	alternate
单	chan	700000	alternate
降	xiang	2200000	alternate
角	jue	3000000	alternate
柏	bo	1600000	alternate
厦	xia	1800000	alternate
朴	piao	1200000	alternate
朴	po	900000	alternate
解	xie	2200000	alternate
区	ou	900000	alternate
仇	qiu	1200000	alternate
查	zha	1400000	alternate
盛	cheng	1800000	alternate
种	chong	1800000	alternate
数	shuo	1200000	alternate
模	mu	2600000	alternate
露	lou	2200000	colloquial
落	la	1200000	colloquial
落	lao	1000000	alternate
校	jiao	2600000	alternate
塞	se	1800000	alternate
称	chen	1600000	alternate
扎	za	1400000	alternate
抹	ma	1000000	alternate
咽	ye	1500000	alternate
壳	qiao	1800000	alternate
嚼	jiao	1200000	alternate
削	xiao	1600000	alternate
粘	nian	1600000	alternate
恶	wu	1600000	alternate
卡	qia	2400000	alternate
夹	ga	900000	alternate
参	cen	900000	alternate
参	shen	1800000	alternate
传	zhuan	2200000	alternate
弹	tan	2800000	alternate
强	jiang	1800000	alternate
屏	bing	1200000	alternate
# 其他高频现代普通话异读；不收录仅声调差异、古音或方言读法。
阿	e	1800000	alternate
卜	bo	1200000	alternate
佛	fu	1800000	alternate
匙	shi	1200000	alternate
畜	xu	1800000	alternate
扁	pian	1800000	alternate
辟	pi	1800000	alternate
秘	mi	1800000	alternate
藉	jie	1200000	alternate
劲	jing	1800000	alternate
绿	lu	1600000	alternate
埋	man	1800000	alternate
脉	mo	1200000	alternate
弄	long	1200000	alternate
迫	pai	900000	alternate
识	zhi	1800000	alternate
似	shi	2400000	alternate
宿	xiu	1200000	alternate
提	di	2200000	alternate
什	shi	1400000	alternate
吓	he	1600000	alternate
殷	yan	1000000	alternate
攒	cuan	900000	alternate
择	zhai	1800000	alternate
撮	cuo	900000	alternate
扛	gang	900000	alternate
臭	xiu	900000	alternate
靓	liang	800000	alternate
莞	wan	800000	alternate
蔓	wan	800000	alternate
芥	gai	800000	alternate
刹	cha	800000	alternate
